creat ph0.
0 0
creat ph1.
1 1
creat ph2.
2 2
creat ph3.
3 3
creat ph4.
4 4
time	:ph0	ph1	ph2	ph3	ph4
339	:think	think	think	think	think	
340	:think	think	think	think	think	
341	:think	think	think	think	think	
342	:think	think	think	think	think	
343	:think	think	think	think	think	
344	:think	think	think	think	think	
345	:think	think	think	think	think	
346	:think	think	think	think	think	
347	:think	think	think	think	think	
348	:think	think	think	think	think	
349	:think	think	think	think	think	
350	:think	think	think	think	think	
351	:think	think	think	think	think	
352	:think	think	think	think	think	
353	:think	think	think	think	think	
354	:think	think	think	think	think	
355	:think	think	think	think	think	
356	:think	think	think	think	think	
357	:think	think	think	think	think	
358	:think	think	think	think	think	
359	:think	think	think	think	think	
360	:think	think	think	think	think	
361	:think	think	think	think	think	
362	:think	think	think	think	think	
363	:think	think	think	think	think	
364	:think	think	think	think	think	
365	:think	think	think	think	think	
366	:think	think	think	think	think	
367	:think	think	think	think	think	
368	:think	think	think	think	think	
369	:think	think	think	think	think	
370	:think	think	think	think	think	
371	:think	think	think	think	think	
372	:think	think	think	think	think	
373	:think	think	think	think	think	
374	:think	think	think	think	think	
375	:think	think	think	think	think	
376	:think	think	think	think	think	
377	:think	think	think	think	think	
378	:think	think	think	think	think	
379	:think	think	think	think	think	
380	:think	think	think	think	think	
381	:think	think	think	think	think	
382	:think	think	think	think	think	
383	:think	think	think	think	think	
384	:think	think	think	think	think	
385	:think	think	think	think	think	
386	:think	think	think	think	think	
387	:think	think	think	think	think	
388	:think	think	think	think	think	
389	:think	think	think	think	think	
390	:think	think	think	think	think	
391	:think	think	think	think	think	
392	:think	think	think	think	think	
393	:think	think	think	think	think	
394	:think	think	think	think	think	
395	:think	think	think	think	think	
396	:think	think	think	think	think	
397	:think	think	think	think	think	
398	:think	think	think	think	think	
399	:think	think	think	think	think	
400	:think	think	think	think	think	
401	:think	think	think	think	think	
402	:think	think	think	think	think	
403	:think	think	think	think	think	
404	:think	think	think	think	think	
405	:think	think	think	think	think	
406	:think	think	think	think	think	
407	:think	think	think	think	think	
408	:think	think	think	think	think	
409	:think	think	think	think	think	
410	:think	think	think	think	think	
411	:think	think	think	think	think	
412	:think	think	think	think	think	
413	:think	think	think	think	think	
414	:think	think	think	think	think	
415	:think	think	think	think	think	
416	:think	think	think	think	think	
417	:think	think	think	think	think	
418	:think	think	think	think	think	
419	:think	think	think	think	think	
420	:think	think	think	think	think	
421	:think	think	think	think	think	
422	:think	think	think	think	think	
423	:think	think	think	think	think	
424	:think	think	think	think	think	
425	:think	think	think	think	think	
426	:think	think	think	think	think	
427	:think	think	think	think	think	
428	:think	think	think	think	think	
429	:think	think	think	think	think	
430	:think	think	think	think	think	
431	:think	think	think	think	think	
432	:think	think	think	think	think	
433	:think	think	think	think	think	
434	:think	think	think	think	think	
435	:think	think	think	think	think	
436	:think	think	think	think	think	
437	:think	think	think	think	think	
438	:think	think	think	think	think	
439	:think	think	think	think	think	
440	:think	think	think	think	think	
441	:think	think	think	think	think	
442	:think	think	think	think	think	
443	:think	think	think	think	think	
444	:think	think	think	think	think	
445	:think	think	think	think	think	
446	:think	think	think	think	think	
447	:think	think	think	think	think	
448	:think	think	think	think	think	
449	:think	think	think	think	think	
450	:think	think	think	think	think	
451	:think	think	think	think	think	
452	:think	think	think	think	think	
453	:think	think	think	think	think	
454	:think	think	think	think	think	
455	:think	think	think	think	think	
456	:think	think	think	think	think	
457	:think	think	think	think	think	
458	:think	think	think	think	think	
459	:think	think	think	think	think	
460	:think	think	think	think	think	
461	:think	think	think	think	think	
462	:think	think	think	think	think	
463	:think	think	think	think	think	
464	:think	think	think	think	think	
465	:think	think	think	think	think	
466	:think	think	think	think	think	
467	:think	think	think	think	think	
468	:think	think	think	think	think	
469	:think	think	think	think	think	
470	:think	think	think	think	think	
471	:think	think	think	think	think	
472	:think	think	think	think	think	
473	:think	think	think	think	think	
474	:think	think	think	think	think	
475	:think	think	think	think	think	
476	:think	think	think	think	think	
477	:think	think	think	think	think	
478	:think	think	think	think	think	
479	:think	think	think	think	think	
480	:think	think	think	think	think	
481	:think	think	think	think	think	
482	:think	think	think	think	think	
483	:think	think	think	think	think	
484	:think	think	think	think	think	
485	:think	think	think	think	think	
486	:think	think	think	think	think	
487	:think	think	think	think	think	
488	:think	think	think	think	think	
489	:think	think	think	think	think	
490	:think	think	think	think	think	
491	:think	think	think	think	think	
492	:think	think	think	think	think	
493	:think	think	think	think	think	
494	:think	think	think	think	think	
495	:think	think	think	think	think	
496	:think	think	think	think	think	
497	:think	think	think	think	think	
498	:think	think	think	think	think	
499	:think	think	think	think	think	
500	:think	think	think	think	think	
501	:think	think	think	think	think	
502	:think	think	think	think	think	
503	:think	think	think	think	think	
504	:think	think	think	think	think	
505	:think	think	think	think	think	
506	:think	think	think	think	think	
507	:think	think	think	think	think	
508	:think	think	think	think	think	
509	:think	think	think	think	think	
510	:think	think	think	think	think	
511	:think	think	think	think	think	
512	:think	think	think	think	think	
513	:think	think	think	think	think	
514	:think	think	think	think	think	
515	:think	think	think	think	think	
516	:think	think	think	think	think	
517	:think	think	think	think	think	
518	:think	think	think	think	think	
519	:think	think	think	think	think	
520	:think	think	think	think	think	
521	:think	think	think	think	think	
522	:think	think	think	think	think	
523	:think	think	think	think	think	
524	:think	think	think	think	think	
525	:think	think	think	think	think	
526	:think	think	think	think	think	
527	:think	think	think	think	think	
528	:think	think	think	think	think	
529	:think	think	think	think	think	
530	:think	think	think	think	think	
531	:think	think	think	think	think	
532	:think	think	think	think	think	
533	:think	think	think	think	think	
534	:think	think	think	think	think	
535	:think	think	think	think	think	
536	:think	think	think	think	think	
537	:think	think	think	think	think	
538	:think	think	think	think	think	
539	:think	think	think	think	think	
540	:think	think	think	think	think	
541	:think	think	think	think	think	
542	:think	think	think	think	think	
543	:think	think	think	think	think	
544	:think	think	think	think	think	
545	:think	think	think	think	think	
546	:think	think	think	think	think	
547	:think	think	think	think	think	
548	:think	think	think	think	think	
549	:think	think	think	think	think	
550	:think	think	think	think	think	
551	:think	think	think	think	think	
552	:think	think	think	think	think	
